"","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
"213364_s_at",-1.57874880578242,-0.00851251478846154,-16.693167043068,1.48817311581909e-36,4.62306051746639e-34,72.5582480700871,"SNX1"
"228692_at",-1.72983372508132,-0.00215902479487179,-16.6768035091186,1.64216699506895e-36,5.0726260144291e-34,72.4606001440571,"PREX2"
"215039_at",-1.90141705040439,-0.0116567294230769,-16.6689148963623,1.72201705503991e-36,5.28939789237679e-34,72.4135154482947,"LINC01140"
"215184_at",-1.69540676203077,-0.00842731289743589,-16.6648960390741,1.7641823010168e-36,5.38864063173708e-34,72.3895256043479,"DAPK2"
"206170_at",-2.72799857413187,-0.0194931601923077,-16.633481156809,2.13153578318163e-36,6.4745399414142e-34,72.2019415005093,"ADRB2"
"205935_at",-2.53816078346374,0.00779882146153847,-16.6282900116516,2.1992348897416e-36,6.64326892799016e-34,72.1709342146825,"FOXF1"
"225369_at",-2.15171055707033,-0.0117160808397436,-16.6211748688966,2.29554261224601e-36,6.89608749035994e-34,72.1284300811944,"ESAM"
"226140_s_at",-1.57140652414725,-0.00571887142948718,-16.618811658436,2.3284568555645e-36,6.9567419987972e-34,72.1143116610826,"OTUD1"
"225372_at",-1.29897416806593,-0.0109475937564103,-16.6163871410562,2.36271690122907e-36,7.02073622688584e-34,72.0998263691165,"VSIR"
"242500_at",-2.32717585648571,-0.0057981739551282,-16.613740566711,2.40069213554489e-36,7.09501851410362e-34,72.0840136930251,NA
"239218_at",-1.46007104131429,0.00320279801282052,-16.6012006513975,2.58911603935412e-36,7.61074835761756e-34,72.0090805917204,"PDE1C"
"226673_at",-1.72372434379341,-0.0116405343974359,-16.5966448729488,2.66118479926398e-36,7.78076357752716e-34,71.9818531563018,"SH2D3C"
"219527_at",-1.4230879369011,-0.00331144255128206,-16.5845231482868,2.86289149571766e-36,8.32598896427462e-34,71.9093975627236,"MTARC2"
"235427_at",-2.18423673132747,-0.00497619793589744,-16.5749099715908,3.03370274462621e-36,8.77606865409724e-34,71.8519254840234,"CFLAR"
"238206_at",-1.71738566004615,-0.000680149570512819,-16.5662278125312,3.19673926479757e-36,9.19903785804249e-34,71.8000111788018,"RXFP1"
"210383_at",-1.8416438483011,-9.82321153846726e-06,-16.5426971094756,3.68416534402739e-36,1.05461644075758e-33,71.6592716654823,"SCN1A"
"202615_at",-1.08841628575165,-0.00750911516025641,-16.5157248165753,4.33526354817062e-36,1.23453403383453e-33,71.4978768836056,"GNAQ"
"221133_s_at",-3.20679259466154,-0.0217664385064102,-16.50720414119,4.56403755903334e-36,1.29294690953444e-33,71.4468758314294,"CLDN18"
"229529_at",-2.31407991095604,-0.00767594467307693,-16.5039330243291,4.65504678106006e-36,1.31193135440443e-33,71.4272943544855,"TCF21"
"209763_at",-3.28265377683296,-0.0325810937115385,-16.467948533774,5.78474538060902e-36,1.62195360863999e-33,71.2118119578263,"CHRDL1"
"205003_at",-1.84827763301099,-0.00750213982051282,-16.4613310941848,6.02064492705318e-36,1.67948347646241e-33,71.1721708622566,"DOCK4"
"219719_at",-1.96384535296044,-0.010510462724359,-16.4355668580932,7.03470184954939e-36,1.95239758184829e-33,71.0177899612673,"HIGD1B"
"225913_at",-1.43175912088352,-0.0099220105,-16.4220801915376,7.63211516532727e-36,2.10750452860742e-33,70.9369498655955,"PEAK1"
"232027_at",-1.64704420448571,0.00208292794230769,-16.4002805234069,8.70724099597372e-36,2.39230352489881e-33,70.8062416590739,"SYNE1"
"228232_s_at",-1.77504738524615,-0.00474700142948719,-16.3993115140689,8.75840872331991e-36,2.39432998473758e-33,70.8004304678685,"VSIG2"
"213706_at",-1.66008991187253,-0.0089957876025641,-16.3231743448994,1.38832461791412e-35,3.75775487546805e-33,70.3435339857912,"GPD1"
"225078_at",-2.61127034565494,-0.00294605436538461,-16.3053294175373,1.54674421428505e-35,4.16592314857316e-33,70.2363622705939,"EMP2"
"207195_at",-1.24662368915824,-0.00159722768589744,-16.3032402489932,1.56643855234161e-35,4.19394885271412e-33,70.2238132002514,"CNTN6"
"1555800_at",-3.31653973056923,-0.0100754949807692,-16.3026034840282,1.57249111075701e-35,4.19394885271412e-33,70.2199882379057,"ZNF385B"
"1556037_s_at",-2.57823375772088,-0.000655880403846154,-16.2763904792774,1.84310243767576e-35,4.8854096604176e-33,70.0624948011587,"HHIP"
